,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,1,10.0,0.00012552900000017964,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
1,2,10.0,0.0003431380000000761,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
2,4,10.0,0.0005453930000001161,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
3,8,10.0,0.000815120000000169,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
4,16,10.0,0.0011992740000001945,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
5,32,10.0,0.0018884830000001074,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
6,64,10.0,0.0033243920000001204,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
7,128,10.0,0.006662509000000094,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
8,256,10.0,0.012898650999999983,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
9,512,10.0,0.026845356000000153,[1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1],RHC,0,127
10,1,8.0,0.028627169000000174,[1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1],RHC,1,127
11,2,8.0,0.028839746000000055,[1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1],RHC,1,127
12,4,11.0,0.029069836000000127,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
13,8,11.0,0.029361063000000076,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
14,16,11.0,0.030022031999999976,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
15,32,11.0,0.0307155320000001,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
16,64,11.0,0.03205887800000018,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
17,128,11.0,0.035274407000000174,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
18,256,11.0,0.040675418000000185,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
19,512,11.0,0.05331664800000002,[0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1],RHC,1,127
20,1,7.0,0.05406629800000018,[1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 0],RHC,2,127
21,2,7.0,0.05431633700000016,[1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 0],RHC,2,127
22,4,9.0,0.05457118900000002,[1 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0],RHC,2,127
23,8,11.0,0.054842080000000015,[1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0],RHC,2,127
24,16,13.0,0.05526887899999999,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],RHC,2,127
25,32,13.0,0.055904192000000075,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],RHC,2,127
26,64,13.0,0.05715466800000013,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],RHC,2,127
27,128,13.0,0.059877241000000136,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],RHC,2,127
28,256,13.0,0.06602720700000009,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],RHC,2,127
29,512,13.0,0.08061126500000015,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],RHC,2,127
30,1,9.0,0.08147874900000018,[0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1],RHC,3,127
31,2,11.0,0.08169557599999999,[0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1],RHC,3,127
32,4,13.0,0.08192904000000012,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
33,8,13.0,0.0822245800000001,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
34,16,13.0,0.08263153000000001,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
35,32,13.0,0.08327736800000007,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
36,64,13.0,0.08446800300000001,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
37,128,13.0,0.08677135100000011,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
38,256,13.0,0.09283205000000017,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
39,512,13.0,0.10457472700000014,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1],RHC,3,127
40,1,8.0,0.10528995900000004,[0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 0],RHC,4,127
41,2,8.0,0.105486478,[0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 0],RHC,4,127
42,4,10.0,0.1057332820000001,[0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
43,8,10.0,0.10607257100000012,[0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
44,16,12.0,0.10661549199999998,[0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
45,32,12.0,0.10754467400000012,[0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
46,64,12.0,0.10930039300000005,[0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
47,128,12.0,0.11307660500000005,[0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
48,256,12.0,0.12020652300000001,[0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
49,512,12.0,0.13676272700000003,[0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0],RHC,4,127
