,Iteration,Time,Fitness,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,0,10.138568282000001,39.0,GA,200,0.65,200,0.65
1,1,10.138568282000001,39.0,GA,200,0.65,200,0.65
2,2,10.138568282000001,40.0,GA,200,0.65,200,0.65
3,3,10.138568282000001,42.0,GA,200,0.65,200,0.65
4,4,10.138568282000001,43.0,GA,200,0.65,200,0.65
5,5,10.138568282000001,45.0,GA,200,0.65,200,0.65
6,6,10.138568282000001,46.0,GA,200,0.65,200,0.65
7,7,10.138568282000001,46.0,GA,200,0.65,200,0.65
8,8,10.138568282000001,48.0,GA,200,0.65,200,0.65
9,9,10.138568282000001,51.0,GA,200,0.65,200,0.65
10,10,10.138568282000001,51.0,GA,200,0.65,200,0.65
11,11,10.138568282000001,51.0,GA,200,0.65,200,0.65
12,12,10.138568282000001,52.0,GA,200,0.65,200,0.65
13,13,10.138568282000001,52.0,GA,200,0.65,200,0.65
14,14,10.138568282000001,52.0,GA,200,0.65,200,0.65
15,15,10.138568282000001,54.0,GA,200,0.65,200,0.65
16,16,10.138568282000001,54.0,GA,200,0.65,200,0.65
17,17,10.138568282000001,54.0,GA,200,0.65,200,0.65
18,18,10.138568282000001,55.0,GA,200,0.65,200,0.65
19,19,10.138568282000001,55.0,GA,200,0.65,200,0.65
20,20,10.138568282000001,55.0,GA,200,0.65,200,0.65
21,21,10.138568282000001,55.0,GA,200,0.65,200,0.65
22,22,10.138568282000001,57.0,GA,200,0.65,200,0.65
23,23,10.138568282000001,57.0,GA,200,0.65,200,0.65
24,24,10.138568282000001,58.0,GA,200,0.65,200,0.65
25,25,10.138568282000001,58.0,GA,200,0.65,200,0.65
26,26,10.138568282000001,58.0,GA,200,0.65,200,0.65
27,27,10.138568282000001,58.0,GA,200,0.65,200,0.65
28,28,10.138568282000001,58.0,GA,200,0.65,200,0.65
29,29,10.138568282000001,58.0,GA,200,0.65,200,0.65
30,30,10.138568282000001,58.0,GA,200,0.65,200,0.65
31,31,10.138568282000001,58.0,GA,200,0.65,200,0.65
32,32,10.138568282000001,59.0,GA,200,0.65,200,0.65
33,33,10.138568282000001,59.0,GA,200,0.65,200,0.65
34,34,10.138568282000001,59.0,GA,200,0.65,200,0.65
