,Iteration,Time,Fitness,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,0,468.37905059,44.0,MIMIC,450,0.25,450,0.25
1,1,468.37905059,44.0,MIMIC,450,0.25,450,0.25
2,2,468.37905059,49.0,MIMIC,450,0.25,450,0.25
3,3,468.37905059,49.0,MIMIC,450,0.25,450,0.25
4,4,468.37905059,50.0,MIMIC,450,0.25,450,0.25
5,5,468.37905059,52.0,MIMIC,450,0.25,450,0.25
6,6,468.37905059,54.0,MIMIC,450,0.25,450,0.25
7,7,468.37905059,57.0,MIMIC,450,0.25,450,0.25
8,8,468.37905059,58.0,MIMIC,450,0.25,450,0.25
9,9,468.37905059,60.0,MIMIC,450,0.25,450,0.25
10,10,468.37905059,60.0,MIMIC,450,0.25,450,0.25
11,11,468.37905059,60.0,MIMIC,450,0.25,450,0.25
12,12,468.37905059,61.0,MIMIC,450,0.25,450,0.25
13,13,468.37905059,61.0,MIMIC,450,0.25,450,0.25
14,14,468.37905059,61.0,MIMIC,450,0.25,450,0.25
15,15,468.37905059,61.0,MIMIC,450,0.25,450,0.25
16,16,468.37905059,61.0,MIMIC,450,0.25,450,0.25
17,17,468.37905059,61.0,MIMIC,450,0.25,450,0.25
18,18,468.37905059,61.0,MIMIC,450,0.25,450,0.25
19,19,468.37905059,61.0,MIMIC,450,0.25,450,0.25
20,20,468.37905059,61.0,MIMIC,450,0.25,450,0.25
21,21,468.37905059,61.0,MIMIC,450,0.25,450,0.25
22,22,468.37905059,61.0,MIMIC,450,0.25,450,0.25
23,23,468.37905059,61.0,MIMIC,450,0.25,450,0.25
24,24,468.37905059,61.0,MIMIC,450,0.25,450,0.25
25,25,468.37905059,61.0,MIMIC,450,0.25,450,0.25
26,26,468.37905059,61.0,MIMIC,450,0.25,450,0.25
27,27,468.37905059,61.0,MIMIC,450,0.25,450,0.25
28,28,468.37905059,61.0,MIMIC,450,0.25,450,0.25
29,29,468.37905059,61.0,MIMIC,450,0.25,450,0.25
30,30,468.37905059,61.0,MIMIC,450,0.25,450,0.25
31,31,468.37905059,61.0,MIMIC,450,0.25,450,0.25
32,32,468.37905059,61.0,MIMIC,450,0.25,450,0.25
33,33,468.37905059,61.0,MIMIC,450,0.25,450,0.25
34,34,468.37905059,61.0,MIMIC,450,0.25,450,0.25
35,35,468.37905059,61.0,MIMIC,450,0.25,450,0.25
36,36,468.37905059,61.0,MIMIC,450,0.25,450,0.25
37,37,468.37905059,61.0,MIMIC,450,0.25,450,0.25
38,38,468.37905059,61.0,MIMIC,450,0.25,450,0.25
39,39,468.37905059,61.0,MIMIC,450,0.25,450,0.25
40,40,468.37905059,61.0,MIMIC,450,0.25,450,0.25
41,41,468.37905059,61.0,MIMIC,450,0.25,450,0.25
42,42,468.37905059,61.0,MIMIC,450,0.25,450,0.25
43,43,468.37905059,61.0,MIMIC,450,0.25,450,0.25
44,44,468.37905059,61.0,MIMIC,450,0.25,450,0.25
45,45,468.37905059,61.0,MIMIC,450,0.25,450,0.25
46,46,468.37905059,61.0,MIMIC,450,0.25,450,0.25
47,47,468.37905059,61.0,MIMIC,450,0.25,450,0.25
48,48,468.37905059,61.0,MIMIC,450,0.25,450,0.25
49,49,468.37905059,61.0,MIMIC,450,0.25,450,0.25
50,50,468.37905059,61.0,MIMIC,450,0.25,450,0.25
51,51,468.37905059,61.0,MIMIC,450,0.25,450,0.25
52,52,468.37905059,61.0,MIMIC,450,0.25,450,0.25
53,53,468.37905059,61.0,MIMIC,450,0.25,450,0.25
54,54,468.37905059,61.0,MIMIC,450,0.25,450,0.25
55,55,468.37905059,61.0,MIMIC,450,0.25,450,0.25
56,56,468.37905059,61.0,MIMIC,450,0.25,450,0.25
57,57,468.37905059,61.0,MIMIC,450,0.25,450,0.25
58,58,468.37905059,61.0,MIMIC,450,0.25,450,0.25
59,59,468.37905059,61.0,MIMIC,450,0.25,450,0.25
60,60,468.37905059,61.0,MIMIC,450,0.25,450,0.25
61,61,468.37905059,61.0,MIMIC,450,0.25,450,0.25
62,62,468.37905059,61.0,MIMIC,450,0.25,450,0.25
63,63,468.37905059,61.0,MIMIC,450,0.25,450,0.25
64,64,468.37905059,61.0,MIMIC,450,0.25,450,0.25
65,0,24.41802349400001,48.0,MIMIC,900,0.25,900,0.25
66,1,24.41802349400001,48.0,MIMIC,900,0.25,900,0.25
67,2,24.41802349400001,50.0,MIMIC,900,0.25,900,0.25
68,3,24.41802349400001,52.0,MIMIC,900,0.25,900,0.25
69,4,24.41802349400001,54.0,MIMIC,900,0.25,900,0.25
70,5,24.41802349400001,57.0,MIMIC,900,0.25,900,0.25
71,6,24.41802349400001,57.0,MIMIC,900,0.25,900,0.25
72,7,24.41802349400001,62.0,MIMIC,900,0.25,900,0.25
73,8,24.41802349400001,62.0,MIMIC,900,0.25,900,0.25
74,9,24.41802349400001,63.0,MIMIC,900,0.25,900,0.25
