,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
0,1,10.0,0.0002468719999999536,[1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,1,1
1,2,10.0,0.0006593669999999108,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,1,1
2,4,10.0,0.0010936759999999879,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,1,1
3,8,10.0,0.001828606999999982,[1 0 1 1 1 0 1 1 0 0 1 0 1 0 0 1],SA,1,1
4,16,10.0,0.0027817930000000324,[1 0 1 1 0 0 0 1 0 1 1 0 1 0 0 1],SA,1,1
5,32,12.0,0.004236200000000023,[1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1],SA,1,1
6,64,13.0,0.006833635999999865,[1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0],SA,1,1
7,128,13.0,0.011795301999999896,[1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0],SA,1,1
8,256,15.0,0.020229622000000003,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,1,1
9,512,15.0,0.020229622000000003,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,1,1
10,1024,15.0,0.020229622000000003,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,1,1
11,2048,15.0,0.020229622000000003,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,1,1
12,4096,15.0,0.020229622000000003,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,1,1
13,8192,15.0,0.020229622000000003,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,1,1
14,1,10.0,0.00017542700000028333,[1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,10,10
15,2,10.0,0.0006143400000002686,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,10,10
16,4,10.0,0.0011054570000004205,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,10,10
17,8,7.0,0.0016842839999999804,[1 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0],SA,10,10
18,16,7.0,0.0026001520000002998,[0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1],SA,10,10
19,32,6.0,0.004059726000000374,[0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0],SA,10,10
20,64,5.0,0.006751178000000024,[1 1 1 0 1 1 1 0 1 1 1 1 0 0 0 0],SA,10,10
21,128,9.0,0.01178002700000036,[0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 1],SA,10,10
22,256,10.0,0.022670595000000127,[0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0],SA,10,10
23,512,14.0,0.045749508000000105,[0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,10,10
24,1024,15.0,0.08589266400000017,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,10,10
25,2048,15.0,0.08589266400000017,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,10,10
26,4096,15.0,0.08589266400000017,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,10,10
27,8192,15.0,0.08589266400000017,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],SA,10,10
28,1,10.0,0.00019213100000037286,[1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,50,50
29,2,10.0,0.0005732420000001959,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,50,50
30,4,10.0,0.001015984999999997,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,50,50
31,8,7.0,0.0016472150000002017,[1 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0],SA,50,50
32,16,7.0,0.0025576880000000024,[0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1],SA,50,50
33,32,6.0,0.004311504999999993,[0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0],SA,50,50
34,64,5.0,0.007162660000000098,[1 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0],SA,50,50
35,128,10.0,0.01269840900000041,[1 0 1 1 1 0 0 1 0 1 0 1 1 1 0 1],SA,50,50
36,256,6.0,0.024219171000000372,[1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1],SA,50,50
37,512,15.0,0.042579915000000135,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,50,50
38,1024,15.0,0.042579915000000135,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,50,50
39,2048,15.0,0.042579915000000135,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,50,50
40,4096,15.0,0.042579915000000135,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,50,50
41,8192,15.0,0.042579915000000135,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,50,50
42,1,10.0,0.00020465199999986083,[1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,100,100
43,2,10.0,0.000577888999999665,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,100,100
44,4,10.0,0.0011174779999998385,[1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1],SA,100,100
45,8,7.0,0.0017147109999999799,[1 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0],SA,100,100
46,16,7.0,0.002613825999999708,[0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1],SA,100,100
47,32,10.0,0.004098965999999926,[0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0],SA,100,100
48,64,9.0,0.006983645000000038,[1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0],SA,100,100
49,128,11.0,0.012357688999999894,[1 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0],SA,100,100
50,256,5.0,0.02343792500000008,[0 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1],SA,100,100
51,512,9.0,0.046814901999999936,[1 0 1 0 1 0 1 1 1 0 1 1 1 0 0 0],SA,100,100
52,1024,15.0,0.08343993199999966,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,100,100
53,2048,15.0,0.08343993199999966,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,100,100
54,4096,15.0,0.08343993199999966,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,100,100
55,8192,15.0,0.08343993199999966,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],SA,100,100
