,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,1,14.0,0.027987050000000124,[1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1],GA,200,0.5,200,0.5
1,2,14.0,0.04707316500000047,[1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1],GA,200,0.5,200,0.5
2,4,16.0,0.08900567600000109,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
3,8,16.0,0.16121905400000003,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
4,16,16.0,0.30794019700000064,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
5,32,16.0,0.5883633940000017,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
6,64,16.0,1.1321208270000014,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
7,128,16.0,2.222841743,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
8,256,16.0,4.3600611140000005,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.5,200,0.5
9,1,13.0,0.02063580899999984,[1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1],GA,200,0.6,200,0.6
10,2,14.0,0.037781075999999914,[1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1],GA,200,0.6,200,0.6
11,4,15.0,0.07258271399999927,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
12,8,16.0,0.13840186300000035,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
13,16,16.0,0.27389492500000046,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
14,32,16.0,0.5430571140000016,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
15,64,16.0,1.06323203,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
16,128,16.0,2.112716561000001,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
17,256,16.0,4.222686440999999,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],GA,200,0.6,200,0.6
