,Iterations,Fitness,Time,State,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,1,14.0,0.12452330099999998,[1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,200,0.2,200,0.2
1,2,16.0,0.2375368019999997,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,200,0.2,200,0.2
2,4,16.0,0.46102331800000007,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,200,0.2,200,0.2
3,8,16.0,0.8963025029999998,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,200,0.2,200,0.2
4,16,16.0,1.7890483219999997,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,200,0.2,200,0.2
5,32,16.0,3.59401288,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,200,0.2,200,0.2
6,1,15.0,0.12606853499999993,[1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,400,0.2,400,0.2
7,2,16.0,0.24855617399999996,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,400,0.2,400,0.2
8,4,16.0,0.4866557800000004,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,400,0.2,400,0.2
9,8,16.0,0.9379814180000006,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,400,0.2,400,0.2
10,16,16.0,1.8959025,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,400,0.2,400,0.2
11,32,16.0,3.74731343,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],MIMIC,400,0.2,400,0.2
