,Iteration,Time,Fitness,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,0,99.43825325799999,50.0,MIMIC,200,0.2,200,0.2
1,1,99.43825325799999,50.0,MIMIC,200,0.2,200,0.2
2,2,99.43825325799999,50.0,MIMIC,200,0.2,200,0.2
3,3,99.43825325799999,53.0,MIMIC,200,0.2,200,0.2
4,4,99.43825325799999,57.0,MIMIC,200,0.2,200,0.2
5,5,99.43825325799999,60.0,MIMIC,200,0.2,200,0.2
6,6,99.43825325799999,61.0,MIMIC,200,0.2,200,0.2
7,7,99.43825325799999,63.0,MIMIC,200,0.2,200,0.2
8,8,99.43825325799999,63.0,MIMIC,200,0.2,200,0.2
9,9,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
10,10,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
11,11,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
12,12,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
13,13,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
14,14,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
15,15,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
16,16,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
17,17,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
18,18,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
19,19,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
20,20,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
21,21,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
22,22,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
23,23,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
24,24,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
25,25,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
26,26,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
27,27,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
28,28,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
29,29,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
30,30,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
31,31,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
32,32,99.43825325799999,64.0,MIMIC,200,0.2,200,0.2
33,0,100.115933608,48.0,MIMIC,400,0.2,400,0.2
34,1,100.115933608,48.0,MIMIC,400,0.2,400,0.2
35,2,100.115933608,54.0,MIMIC,400,0.2,400,0.2
36,3,100.115933608,58.0,MIMIC,400,0.2,400,0.2
37,4,100.115933608,59.0,MIMIC,400,0.2,400,0.2
38,5,100.115933608,62.0,MIMIC,400,0.2,400,0.2
39,6,100.115933608,63.0,MIMIC,400,0.2,400,0.2
40,7,100.115933608,64.0,MIMIC,400,0.2,400,0.2
41,8,100.115933608,64.0,MIMIC,400,0.2,400,0.2
42,9,100.115933608,64.0,MIMIC,400,0.2,400,0.2
43,10,100.115933608,64.0,MIMIC,400,0.2,400,0.2
44,11,100.115933608,64.0,MIMIC,400,0.2,400,0.2
45,12,100.115933608,64.0,MIMIC,400,0.2,400,0.2
46,13,100.115933608,64.0,MIMIC,400,0.2,400,0.2
47,14,100.115933608,64.0,MIMIC,400,0.2,400,0.2
48,15,100.115933608,64.0,MIMIC,400,0.2,400,0.2
49,16,100.115933608,64.0,MIMIC,400,0.2,400,0.2
50,17,100.115933608,64.0,MIMIC,400,0.2,400,0.2
51,18,100.115933608,64.0,MIMIC,400,0.2,400,0.2
52,19,100.115933608,64.0,MIMIC,400,0.2,400,0.2
53,20,100.115933608,64.0,MIMIC,400,0.2,400,0.2
54,21,100.115933608,64.0,MIMIC,400,0.2,400,0.2
55,22,100.115933608,64.0,MIMIC,400,0.2,400,0.2
56,23,100.115933608,64.0,MIMIC,400,0.2,400,0.2
57,24,100.115933608,64.0,MIMIC,400,0.2,400,0.2
58,25,100.115933608,64.0,MIMIC,400,0.2,400,0.2
59,26,100.115933608,64.0,MIMIC,400,0.2,400,0.2
60,27,100.115933608,64.0,MIMIC,400,0.2,400,0.2
61,28,100.115933608,64.0,MIMIC,400,0.2,400,0.2
62,29,100.115933608,64.0,MIMIC,400,0.2,400,0.2
63,30,100.115933608,64.0,MIMIC,400,0.2,400,0.2
64,31,100.115933608,64.0,MIMIC,400,0.2,400,0.2
65,32,100.115933608,64.0,MIMIC,400,0.2,400,0.2
