,Iteration,Time,Fitness,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,0,56.706346261,48.0,MIMIC,400,0.2,400,0.2
1,1,56.706346261,48.0,MIMIC,400,0.2,400,0.2
2,2,56.706346261,54.0,MIMIC,400,0.2,400,0.2
3,3,56.706346261,58.0,MIMIC,400,0.2,400,0.2
4,4,56.706346261,59.0,MIMIC,400,0.2,400,0.2
5,5,56.706346261,62.0,MIMIC,400,0.2,400,0.2
6,6,56.706346261,63.0,MIMIC,400,0.2,400,0.2
7,7,56.706346261,64.0,MIMIC,400,0.2,400,0.2
8,8,56.706346261,64.0,MIMIC,400,0.2,400,0.2
9,9,56.706346261,64.0,MIMIC,400,0.2,400,0.2
10,10,56.706346261,64.0,MIMIC,400,0.2,400,0.2
11,11,56.706346261,64.0,MIMIC,400,0.2,400,0.2
12,12,56.706346261,64.0,MIMIC,400,0.2,400,0.2
13,13,56.706346261,64.0,MIMIC,400,0.2,400,0.2
14,14,56.706346261,64.0,MIMIC,400,0.2,400,0.2
15,15,56.706346261,64.0,MIMIC,400,0.2,400,0.2
16,16,56.706346261,64.0,MIMIC,400,0.2,400,0.2
17,17,56.706346261,64.0,MIMIC,400,0.2,400,0.2
18,18,56.706346261,64.0,MIMIC,400,0.2,400,0.2
19,19,56.706346261,64.0,MIMIC,400,0.2,400,0.2
20,20,56.706346261,64.0,MIMIC,400,0.2,400,0.2
21,21,56.706346261,64.0,MIMIC,400,0.2,400,0.2
22,22,56.706346261,64.0,MIMIC,400,0.2,400,0.2
23,23,56.706346261,64.0,MIMIC,400,0.2,400,0.2
24,24,56.706346261,64.0,MIMIC,400,0.2,400,0.2
25,25,56.706346261,64.0,MIMIC,400,0.2,400,0.2
26,26,56.706346261,64.0,MIMIC,400,0.2,400,0.2
27,27,56.706346261,64.0,MIMIC,400,0.2,400,0.2
28,28,56.706346261,64.0,MIMIC,400,0.2,400,0.2
29,29,56.706346261,64.0,MIMIC,400,0.2,400,0.2
30,30,56.706346261,64.0,MIMIC,400,0.2,400,0.2
31,31,56.706346261,64.0,MIMIC,400,0.2,400,0.2
32,32,56.706346261,64.0,MIMIC,400,0.2,400,0.2
