,Iteration,Time,Fitness,runner_name,schedule,Temperature
10512,0,1.733824722,8,SA,50,50
10513,1,1.733824722,8,SA,50,50
10514,2,1.733824722,9,SA,50,50
10515,3,1.733824722,10,SA,50,50
10516,4,1.733824722,11,SA,50,50
10517,5,1.733824722,11,SA,50,50
10518,6,1.733824722,10,SA,50,50
10519,7,1.733824722,9,SA,50,50
10520,8,1.733824722,8,SA,50,50
10521,9,1.733824722,7,SA,50,50
10522,10,1.733824722,8,SA,50,50
10523,11,1.733824722,9,SA,50,50
10524,12,1.733824722,8,SA,50,50
10525,13,1.733824722,9,SA,50,50
10526,14,1.733824722,8,SA,50,50
10527,15,1.733824722,7,SA,50,50
10528,16,1.733824722,8,SA,50,50
10529,17,1.733824722,7,SA,50,50
10530,18,1.733824722,8,SA,50,50
10531,19,1.733824722,7,SA,50,50
10532,20,1.733824722,6,SA,50,50
10533,21,1.733824722,7,SA,50,50
10534,22,1.733824722,6,SA,50,50
10535,23,1.733824722,5,SA,50,50
10536,24,1.733824722,6,SA,50,50
10537,25,1.733824722,7,SA,50,50
10538,26,1.733824722,8,SA,50,50
10539,27,1.733824722,7,SA,50,50
10540,28,1.733824722,8,SA,50,50
10541,29,1.733824722,9,SA,50,50
10542,30,1.733824722,10,SA,50,50
10543,31,1.733824722,9,SA,50,50
10544,32,1.733824722,10,SA,50,50
10545,33,1.733824722,9,SA,50,50
10546,34,1.733824722,8,SA,50,50
10547,35,1.733824722,7,SA,50,50
10548,36,1.733824722,8,SA,50,50
10549,37,1.733824722,7,SA,50,50
10550,38,1.733824722,8,SA,50,50
10551,39,1.733824722,7,SA,50,50
10552,40,1.733824722,8,SA,50,50
10553,41,1.733824722,7,SA,50,50
10554,42,1.733824722,6,SA,50,50
10555,43,1.733824722,7,SA,50,50
10556,44,1.733824722,8,SA,50,50
10557,45,1.733824722,9,SA,50,50
10558,46,1.733824722,8,SA,50,50
10559,47,1.733824722,9,SA,50,50
10560,48,1.733824722,8,SA,50,50
10561,49,1.733824722,9,SA,50,50
10562,50,1.733824722,8,SA,50,50
10563,51,1.733824722,9,SA,50,50
10564,52,1.733824722,8,SA,50,50
10565,53,1.733824722,7,SA,50,50
10566,54,1.733824722,8,SA,50,50
10567,55,1.733824722,7,SA,50,50
10568,56,1.733824722,6,SA,50,50
10569,57,1.733824722,7,SA,50,50
10570,58,1.733824722,8,SA,50,50
10571,59,1.733824722,7,SA,50,50
10572,60,1.733824722,8,SA,50,50
10573,61,1.733824722,9,SA,50,50
10574,62,1.733824722,10,SA,50,50
10575,63,1.733824722,9,SA,50,50
10576,64,1.733824722,10,SA,50,50
10577,65,1.733824722,11,SA,50,50
10578,66,1.733824722,10,SA,50,50
10579,67,1.733824722,11,SA,50,50
10580,68,1.733824722,10,SA,50,50
10581,69,1.733824722,11,SA,50,50
10582,70,1.733824722,12,SA,50,50
10583,71,1.733824722,11,SA,50,50
10584,72,1.733824722,10,SA,50,50
10585,73,1.733824722,9,SA,50,50
10586,74,1.733824722,8,SA,50,50
10587,75,1.733824722,9,SA,50,50
10588,76,1.733824722,8,SA,50,50
10589,77,1.733824722,9,SA,50,50
10590,78,1.733824722,10,SA,50,50
10591,79,1.733824722,9,SA,50,50
10592,80,1.733824722,8,SA,50,50
10593,81,1.733824722,9,SA,50,50
10594,82,1.733824722,10,SA,50,50
10595,83,1.733824722,11,SA,50,50
10596,84,1.733824722,10,SA,50,50
10597,85,1.733824722,11,SA,50,50
10598,86,1.733824722,12,SA,50,50
10599,87,1.733824722,11,SA,50,50
10600,88,1.733824722,10,SA,50,50
10601,89,1.733824722,9,SA,50,50
10602,90,1.733824722,10,SA,50,50
10603,91,1.733824722,9,SA,50,50
10604,92,1.733824722,8,SA,50,50
10605,93,1.733824722,7,SA,50,50
10606,94,1.733824722,6,SA,50,50
10607,95,1.733824722,7,SA,50,50
10608,96,1.733824722,6,SA,50,50
10609,97,1.733824722,7,SA,50,50
10610,98,1.733824722,8,SA,50,50
10611,99,1.733824722,7,SA,50,50
10612,100,1.733824722,8,SA,50,50
10613,101,1.733824722,7,SA,50,50
10614,102,1.733824722,7,SA,50,50
10615,103,1.733824722,8,SA,50,50
10616,104,1.733824722,7,SA,50,50
10617,105,1.733824722,6,SA,50,50
10618,106,1.733824722,6,SA,50,50
10619,107,1.733824722,5,SA,50,50
10620,108,1.733824722,6,SA,50,50
10621,109,1.733824722,5,SA,50,50
10622,110,1.733824722,4,SA,50,50
10623,111,1.733824722,5,SA,50,50
10624,112,1.733824722,6,SA,50,50
10625,113,1.733824722,7,SA,50,50
10626,114,1.733824722,8,SA,50,50
10627,115,1.733824722,9,SA,50,50
10628,116,1.733824722,8,SA,50,50
10629,117,1.733824722,7,SA,50,50
10630,118,1.733824722,6,SA,50,50
10631,119,1.733824722,7,SA,50,50
10632,120,1.733824722,8,SA,50,50
10633,121,1.733824722,9,SA,50,50
10634,122,1.733824722,10,SA,50,50
10635,123,1.733824722,9,SA,50,50
10636,124,1.733824722,10,SA,50,50
10637,125,1.733824722,11,SA,50,50
10638,126,1.733824722,10,SA,50,50
