,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,1,568.430797485631,0.10613393500000012,[11  6  5  8  1  9  4 12 15  0  2 10  7 14  3 13],GA,200,0.5,200,0.5
1,2,567.5149817591397,0.16372030999999998,[ 0  1  2  8 14  9 11 12  5  6  3 10 15  4 13  7],GA,200,0.5,200,0.5
2,4,539.1488805574927,0.2794338519999999,[ 9  1  2  8 15 12  4  6  5  0 14  3  7 11 13 10],GA,200,0.5,200,0.5
3,8,530.4552920099311,0.5067164289999999,[ 2 12  4  9  1  6  5  0  8 10  3 14 11 13  7 15],GA,200,0.5,200,0.5
4,16,492.0757365641797,0.955691962,[ 2  0  1  9 15 12  4 11 13  7  3  8  6  5 10 14],GA,200,0.5,200,0.5
5,32,448.3254268853382,1.8345757640000002,[ 3  2  0  8 10  6 15  7 13  4 12  5 11  9  1 14],GA,200,0.5,200,0.5
6,64,358.62312833569814,3.589773171,[ 9  1  3 10 14  2  0  8  6 15  5  7  4 12 13 11],GA,200,0.5,200,0.5
7,128,333.14684774736475,7.059615464,[ 9  1  3 10 14  2  0  8  6  5 15  7 12  4 13 11],GA,200,0.5,200,0.5
8,256,329.0685045079005,14.136087066,[ 9  1 14 10  3  2  0  8  6  5 15  7 12  4 13 11],GA,200,0.5,200,0.5
9,1,568.430797485631,0.09502353100000072,[11  6  5  8  1  9  4 12 15  0  2 10  7 14  3 13],GA,200,0.6,200,0.6
10,2,568.430797485631,0.14914042500000058,[11  6  5  8  1  9  4 12 15  0  2 10  7 14  3 13],GA,200,0.6,200,0.6
11,4,539.4220536059023,0.2616801249999998,[ 3 12  4 15 13 11  7  5  6 14  8  0 10  1  9  2],GA,200,0.6,200,0.6
12,8,481.53761228992454,0.486773727000001,[ 3  5 15  4 12 13 11  7  6 14  8  0  2  1  9 10],GA,200,0.6,200,0.6
13,16,462.7892158730963,0.9671491680000006,[ 5  4 13  9  1  3 10  8  0  2  6 14 11  7 12 15],GA,200,0.6,200,0.6
14,32,418.12582608799335,1.8317375780000003,[ 3  2  0  8  6  5  4 13 11 15 12  7 14 10  9  1],GA,200,0.6,200,0.6
15,64,381.7902263249389,3.575069474000001,[ 3  2  0  8  6  5  4 12 13 11  9  1 10 14  7 15],GA,200,0.6,200,0.6
16,128,339.5618734611537,7.17570385,[ 3  2  0  8  6  5 15 12  4  7 13 11  9  1 10 14],GA,200,0.6,200,0.6
17,256,329.06850450790046,14.257889915000002,[ 3  2  0  8  6  5 15  7 12  4 13 11  9  1 14 10],GA,200,0.6,200,0.6
