,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,1,1411.711928975892,0.0011270499999997963,"[18 21 10 16 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",RHC,0,127
1,2,1411.711928975892,0.0020800809999999004,"[18 21 10 16 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",RHC,0,127
2,4,1381.1097073059639,0.0038485929999998447,"[18 21 10 19 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 16]",RHC,0,127
3,8,1355.9559755511439,0.0066020729999998196,"[18 21 26 19 23  4 10  1  3 28 20 14 27  0 24  5 11  2 17 15 25 30 31  7
 12 13 29 22  9  8  6 16]",RHC,0,127
4,16,1311.7155670037725,0.011895999999999907,"[18 21 26 19 23 22 10  1  3 28 20 14 27  0 24  5 11  2 17 15 12 25 31  7
 30 13 29  4  9  8  6 16]",RHC,0,127
5,32,1238.420003393063,0.020864661999999923,"[ 2 21 26 19 23 22 10 11  3 28 20 14 27  0 24  5  1 18 17 15 12 25 31  7
 30 13 29  4  9  8  6 16]",RHC,0,127
6,64,1099.5092115758775,0.03905970499999989,"[ 7 21 10 19 23 22 13 11 12 28 20 14 27  0 24  5  1 25 17 15  3 18 31  2
 30 26 29  4  9  8  6 16]",RHC,0,127
7,128,1012.8229053207247,0.072937319,"[ 7 21  9 19 23  1 11 13  4 28 20 14 27  0 24 15 22 25 17  5  3 18 31  2
 26 30 29 12 16  6  8 10]",RHC,0,127
8,256,854.8957262660342,0.13332922299999983,"[11 21  9 29 23 28 20 13  4  1 14 19 27  0 24  5 15 25 17 22  3 18 31  2
 30 26  7 12 16  6  8 10]",RHC,0,127
9,512,740.7587477098009,0.2673669249999999,"[20 21 28  9  4 29 11 13 14  1 12 19 27 15 24  0  5 25 17  3 22 23 18  2
 26 30  6  8 16 31 10  7]",RHC,0,127
10,1024,628.0908070600957,0.5357818919999999,"[14  1 29  9 28 11 20 13 21  4 12 23 27 15 24  0 17 25  5  3 22 19 18 16
 30 26  6  8 31  2 10  7]",RHC,0,127
11,2048,622.6523625305844,1.0995679019999998,"[14 23 28  9 29 11 20 13 21  4  1 12 27 19  5  0 17 25 24  3 22 15 18 16
 30 26  6  8 31  2 10  7]",RHC,0,127
12,1,1636.504255768716,1.1026635289999998,"[27  6 19 18  0  1 26 31  5 12 23 22 30 15 28 24 13  7 16 25 21 14  4  8
  9 20 17  3 11 29  2 10]",RHC,1,127
