,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,1,1129.0621434434659,0.18121301,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.55,200,0.55
1,2,1129.0621434434659,0.28172183799999995,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.55,200,0.55
2,4,1129.0621434434659,0.47627380799999997,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.55,200,0.55
3,8,1122.8780828572712,0.8678041969999999,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 25 15]",GA,200,0.55,200,0.55
4,16,1056.0049570938374,1.6740662450000001,"[ 4  9 28 12 26 27 19  7 20 13  2 16 31 30 11 21 14 10 29  0  3 15 18  6
  5  1 23  8 25 17 24 22]",GA,200,0.55,200,0.55
5,32,889.2843222245924,3.2692502909999996,"[ 4 12 11 21  7 20 13  2 16 31 30 29  9 28 22 27 19  1 23 18 25 17 15 26
  6  8 10  5 24  0  3 14]",GA,200,0.55,200,0.55
6,64,820.0098447336708,6.438936262,"[ 4 12 11 21  7 20 13  2 16 31 30 29  9 28 22 27 19  1 23 18 25 17 10 26
  6  8  5  0 24  3 15 14]",GA,200,0.55,200,0.55
7,128,711.6203411347151,12.789313769,"[22 28  9 12  4 11 21  7 20 13 26 30  2 16 31 14 29 27 19  1 23 17 25 18
 10  6  8  5  0 24 15  3]",GA,200,0.55,200,0.55
8,256,654.2298842318728,25.547838437,"[22 28  9 12 29  4 11 21 13 20  7  2 16 31 30 14 23  1 27 19 17 25 18 10
 26  6  8  0 24  5 15  3]",GA,200,0.55,200,0.55
9,512,581.9373534337341,51.045666714,"[22 23 28  9 29 12  1  4 11 20 13 21  7 26 30 10 16  2 14 27 19 17 25 18
 31  6  8  0 24  5 15  3]",GA,200,0.55,200,0.55
10,1024,533.6435058198093,101.890422731,"[22 23 28  9 29 12  1  4 11 20 13 21  7 26 30 16  2 10 14 27 19 18  6 31
  8 25 17  0 24  5 15  3]",GA,200,0.55,200,0.55
11,1,1129.0621434434659,0.18056700500000034,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.65,200,0.65
12,2,1129.0621434434659,0.29374608999999907,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.65,200,0.65
13,4,1129.0621434434659,0.496712445,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.65,200,0.65
14,8,1128.6693091823765,0.9090203539999919,"[16 30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13
 20 21  5 29 14  2 15 25]",GA,200,0.65,200,0.65
15,16,1061.5544927455446,1.7073819350000008,"[ 5 24 12 29 11 21 14 10  7  2 16 30 17 18  4 23 19 26  6  0 27  3 22  9
 28  1 31  8 13 20 15 25]",GA,200,0.65,200,0.65
16,32,975.9124626501662,3.2953317690000006,"[18 19 22 27 23  0 25  5 24 12 29 11 21 14 30  2 17 15  9 28  7 13 20 10
 26  6 31 16  4  3  1  8]",GA,200,0.65,200,0.65
17,64,880.6616841628986,6.4571933779999995,"[18 19  0  5 24 12 29 11 21 30  8 25 27  1  4  9 23 14 10  2 17 15 28  7
 13 20 26  6 31 16  3 22]",GA,200,0.65,200,0.65
18,128,785.3500242043677,12.754634996999997,"[18 19  0  5 24 12 29 11 21 30  8 25 27  1  4  9 23 14 10  2 17 15  3 22
 28 20 13  7 26  6 31 16]",GA,200,0.65,200,0.65
19,256,722.4087797430628,25.40865995899999,"[ 8 18 17 25  0 24  5 19 27 12 29 11 21 30 14  4  9 23  1 10  2 16 15  3
 22 28 20 13  7 26  6 31]",GA,200,0.65,200,0.65
20,512,699.7657896406065,50.84409575299999,"[ 8 18 25 17  0 24  5 19 27 12 29  4 11 21 30 10 14  9 28  1  2 16 15  3
 22 23 20 13  7 26  6 31]",GA,200,0.65,200,0.65
21,1024,607.5349855922474,104.61281049899999,"[ 2 16  8 25 17  0 24  5 18 19 27 12  1  4 11 21 30 10 14 29  9 28 23 22
  3 15 20 13  7 26  6 31]",GA,200,0.65,200,0.65
