,Iteration,Time,Fitness,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,0,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
1,1,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
2,2,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
3,3,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
4,4,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
5,5,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
6,6,36.804093146000014,239.92731139856843,GA,200,0.55,200,0.55
7,7,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
8,8,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
9,9,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
10,10,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
11,11,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
12,12,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
13,13,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
14,14,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
15,15,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
16,16,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
17,17,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
18,18,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
19,19,36.804093146000014,239.22547365269074,GA,200,0.55,200,0.55
20,20,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
21,21,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
22,22,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
23,23,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
24,24,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
25,25,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
26,26,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
27,27,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
28,28,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
29,29,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
30,30,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
31,31,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
32,32,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
33,33,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
34,34,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
35,35,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
36,36,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
37,37,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
38,38,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
39,39,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
40,40,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
41,41,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
42,42,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
43,43,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
44,44,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
45,45,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
46,46,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
47,47,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
48,48,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
49,49,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
50,50,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
51,51,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
52,52,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
53,53,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
54,54,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
55,55,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
56,56,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
57,57,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
58,58,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
59,59,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
60,60,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
61,61,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
62,62,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
63,63,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
64,64,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
65,65,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
66,66,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
67,67,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
68,68,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
69,69,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
