,Iterations,Fitness,Time,State,runner_name,pop_size,keep_pct,Population Size,Keep Percent
0,1,1245.5585268001362,1.6265763340000001,"[21 29 12 23  3 31 18 15 17 25 14 19 22 26 10 30  7  8  1  9  4 28  0 27
 16  5 24  6 20  2 11 13]",MIMIC,450,0.25,450,0.25
1,2,1245.5585268001362,3.0368764099999996,"[21 29 12 23  3 31 18 15 17 25 14 19 22 26 10 30  7  8  1  9  4 28  0 27
 16  5 24  6 20  2 11 13]",MIMIC,450,0.25,450,0.25
2,4,1149.855431514232,5.862528502,"[22 25 24  5 12  3 28  2 31 30  8  6 10 26 15  7 11  4 29 14 23  9 21 20
 13 27 19 16  1  0 18 17]",MIMIC,450,0.25,450,0.25
3,8,1044.1102202208115,11.517683877,"[21 26 14  6  4  1 18 10  9 12  3  0 25 16 31 30  7 15 17  5 22 28 23 27
  2  8 24 19 29 13 11 20]",MIMIC,450,0.25,450,0.25
4,16,1007.5078700266661,22.733701478,"[20 26  6 30 10 15 24 17 16  2 31 25  0 18 23 21  8  5  3 28 29 14  7 13
 11  4 22  9  1 12 19 27]",MIMIC,450,0.25,450,0.25
5,32,1007.5078700266661,45.067953854,"[20 26  6 30 10 15 24 17 16  2 31 25  0 18 23 21  8  5  3 28 29 14  7 13
 11  4 22  9  1 12 19 27]",MIMIC,450,0.25,450,0.25
6,64,1007.5078700266661,89.863961177,"[20 26  6 30 10 15 24 17 16  2 31 25  0 18 23 21  8  5  3 28 29 14  7 13
 11  4 22  9  1 12 19 27]",MIMIC,450,0.25,450,0.25
7,128,1007.5078700266661,179.033110181,"[20 26  6 30 10 15 24 17 16  2 31 25  0 18 23 21  8  5  3 28 29 14  7 13
 11  4 22  9  1 12 19 27]",MIMIC,450,0.25,450,0.25
8,256,1007.5078700266661,377.27477711800003,"[20 26  6 30 10 15 24 17 16  2 31 25  0 18 23 21  8  5  3 28 29 14  7 13
 11  4 22  9  1 12 19 27]",MIMIC,450,0.25,450,0.25
9,1,1175.1570857620734,2.374327968999978,"[ 9 23 28 30 27  3 24 12 18  2 10 14 13 20 26  1  6 22 17  8 31  0 15  5
 25 16  7  4 11 21 29 19]",MIMIC,450,0.35,450,0.35
10,2,1175.1570857620734,4.471451822999995,"[ 9 23 28 30 27  3 24 12 18  2 10 14 13 20 26  1  6 22 17  8 31  0 15  5
 25 16  7  4 11 21 29 19]",MIMIC,450,0.35,450,0.35
11,4,1069.86181360671,8.483539936999989,"[31 13  9 19 18 23 27 28 22 15 14 21  1  0 17 24  5  3  8  2 16 25 29  4
 12 30 10  7 26 20 11  6]",MIMIC,450,0.35,450,0.35
12,8,1068.0170644859124,16.147489236000013,"[27  8  5 25 31  6 30 23  4 15  9 22  2 26 16 13 20  7 21 11 14 10 18  1
 12 29 17  0  3 28 19 24]",MIMIC,450,0.35,450,0.35
13,16,998.4467505539403,31.788467217999994,"[27 28  5 25 31  6 30 16  4 22  9 23  1 26  2 13 20  7 21 11 14 10 18  8
 12 29 17  0  3 24 19 15]",MIMIC,450,0.35,450,0.35
14,32,980.1314209848656,63.70408777099999,"[29  0  5 10  6 31 30  2 16 23  9 28 25  8  1 21 11 13  7 20 26 22  3 24
 15 17 12  4 14 27 19 18]",MIMIC,450,0.35,450,0.35
15,64,980.1314209848656,129.65926468100002,"[29  0  5 10  6 31 30  2 16 23  9 28 25  8  1 21 11 13  7 20 26 22  3 24
 15 17 12  4 14 27 19 18]",MIMIC,450,0.35,450,0.35
16,128,980.1314209848656,251.119457297,"[29  0  5 10  6 31 30  2 16 23  9 28 25  8  1 21 11 13  7 20 26 22  3 24
 15 17 12  4 14 27 19 18]",MIMIC,450,0.35,450,0.35
17,256,980.1314209848656,431.31711741600003,"[29  0  5 10  6 31 30  2 16 23  9 28 25  8  1 21 11 13  7 20 26 22  3 24
 15 17 12  4 14 27 19 18]",MIMIC,450,0.35,450,0.35
