,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
0,1,1411.711928975892,0.0009890439999999945,"[18 21 10 16 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",SA,1,1
1,2,1411.711928975892,0.001667073000000019,"[18 21 10 16 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",SA,1,1
2,4,1411.711928975892,0.002671901000000032,"[18 21 10 16 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",SA,1,1
3,8,1373.9527351885984,0.004815793999999984,"[18 21 26 16 23  4 10  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",SA,1,1
4,16,1310.1202047321842,0.009299061999999969,"[10 21 26 16 23 22 18  1  3 28  9 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29  4 20  8  6 19]",SA,1,1
5,32,1181.0639259569646,0.017787347999999925,"[20 21 26 16 23 22 18 13  3 28  9 14 19  0 24  5 11 30 17 15 25  2 31  7
 12  1 29  4 27  8  6 10]",SA,1,1
6,64,973.6231844473652,0.03435823800000004,"[11 21 26 30 23 15 18 27  3 28  9 22 19  0 24  5 20 13 14 17 25  2  8  7
 12  1 29  4 16 31  6 10]",SA,1,1
7,128,946.5755370897746,0.06825368799999998,"[11 21 26 30 23 15 18 27  3 28  9 22 19  0 24  5 20 13 14 17 25  2 16  8
 12  1 29  4  7 31  6 10]",SA,1,1
8,256,891.2329900919123,0.13418591099999988,"[11 21 26 10 23 15 18 27 19 28  9 22  3  0 24  5 13 20 14 17 25  2 16  8
 12  1 29  4 30 31  6  7]",SA,1,1
9,512,885.3320870636986,0.2727169869999999,"[11 21 26 10 23 15  5 18 19 28  9 22  3  0 24 27 20 13 14 17 25  2 16  8
 12  1 29  4  6 31 30  7]",SA,1,1
10,1024,851.7847784067607,0.529695088,"[11  7 26  6 23 15  5 18 27  9 28 22  3  0 24 19 20 13 14 17 25  8 16  2
 12  1 29  4 10 31 30 21]",SA,1,1
11,2048,662.1383085564836,1.1086663920000002,"[21 30 26  6  8  0  5 27 23  9 28 22  3 15 24 19 18  2 31 16 25 17 10 14
 12  1 29  4  7 13 20 11]",SA,1,1
12,4096,560.6672200778839,2.4794434279999997,"[ 7 30  8 25 17  0  5 24 23  9 28 22  3 15 27 19 18 16  2 31  6 26 10 14
 12  1 29  4 11 20 13 21]",SA,1,1
13,8192,558.1732432571785,6.004761884,"[ 7 30  8 25 17  0 24  5 23  9 28 22  3 15 27 19 18 16  2 31  6 26 10 14
 12  1 29  4 11 20 13 21]",SA,1,1
14,1,1411.711928975892,0.0009335839999993212,"[18 21 10 16 23  4 26  1  3 28 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",SA,10,10
15,2,1416.2782221796867,0.0019098369999994702,"[18 21 10 16 23  4 26  1  3 28 20 14 13  0 15  5 11  2 17 24 25 30 31  7
 12 27 29 22  9  8  6 19]",SA,10,10
16,4,1416.7749732590526,0.0032088759999995276,"[18 21 10 16 23  4 26  1  3 28 13 14 20  0 15  5 11  2 17 24 25 30 31  7
 12 27 29 22  9  8  6 19]",SA,10,10
17,8,1404.1925452898497,0.0057036119999995805,"[18 21 26 16 23  0 10  1  3 28 13 14 20  4 15  5 11  2 17 24 25 30 31  7
 12 27 29 22  9  8  6 19]",SA,10,10
18,16,1318.822293686381,0.010348825999999534,"[10 21 26 30 23  0 18  1  3 28  9 14 20  4 15  5 11  2 17 24 25 16 31 13
 12 27 29 22  7  8  6 19]",SA,10,10
19,32,1204.2686204697443,0.018571052999999615,"[10 21 26 30 14  0 18  1  3 28  9 23 20  4 27 12 11  2 17 24 25 16 31 13
 22 15 29  5 19  8  6  7]",SA,10,10
20,64,1098.812383280279,0.032998281999999435,"[10 30 26 21 14  0 18  1  3 28  9 23 20 13 27 12 11  2 17 24 25 16 31  4
 22 29 15  5 19  8  6  7]",SA,10,10
21,128,893.4608394264014,0.06354651899999997,"[10  7 26 21 14  0 18  1  4 28  9 23 20 13 11 29  3 19 17 24 31 16  2 27
 12 22 15  5 25  8  6 30]",SA,10,10
22,256,808.4639275237266,0.12378101299999944,"[10  7 26 21 14 22 12  1  4  9 28 23 20 13 11 29  3 24 17  0 31  2 16 27
 18 19 15  5 25  8  6 30]",SA,10,10
23,512,728.1379973055667,0.2478996139999996,"[26  7 21 10 14  4 29  1 12 22 28  9 11 13 20 23  3 24 17  0 31  2 16 27
 18 19 15  5 25  8  6 30]",SA,10,10
24,1024,688.7305266293985,0.5062326809999993,"[26  7 21 10 14  4 29  1 12 23 28  9 11 13 20 22  3 24  0 17 31  2 16 27
 18 19 15  5 25  8  6 30]",SA,10,10
25,2048,666.3187324323766,1.0552895270000002,"[30  7 21 10 14  4 29  1 12 23 28  9 11 20 13 22  3 24  0 17 31  2 16 18
 19 27 15  5 25  8  6 26]",SA,10,10
26,4096,666.3187324323766,2.3593489510000003,"[30  7 21 10 14  4 29  1 12 23 28  9 11 20 13 22  3 24  0 17 31  2 16 18
 19 27 15  5 25  8  6 26]",SA,10,10
27,8192,666.3187324323766,4.5137276250000005,"[30  7 21 10 14  4 29  1 12 23 28  9 11 20 13 22  3 24  0 17 31  2 16 18
 19 27 15  5 25  8  6 26]",SA,10,10
28,1,1424.4225901020516,0.0012225819999986953,"[18 21 10 16 28  4 26  1  3 23 20 14 27  0 15  5 11  2 17 24 25 30 31  7
 12 13 29 22  9  8  6 19]",SA,50,50
29,2,1428.9888833058462,0.0021588739999991446,"[18 21 10 16 28  4 26  1  3 23 20 14 13  0 15  5 11  2 17 24 25 30 31  7
 12 27 29 22  9  8  6 19]",SA,50,50
30,4,1429.3551567279046,0.003468620999999672,"[18 21 10 16 28  4 26  1  3 23 13 14 20  0 15  5 11  2 17 24 25 30 31  7
 12 27 29 22  9  8  6 19]",SA,50,50
31,8,1431.1355162049688,0.0059155819999983095,"[18 21 26 16 28  0 10  1  3 23 13 14 20  4 15  5 11  2 17 24 25 30 31  7
 12 27 29 22  9  8  6 19]",SA,50,50
